Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.002,0.003,0.005,32.4,2.33,46,7600,31,0.23,0.016,63,19,1.09,0.063,20.79,13.56,151.5,6.53,17.7,154,,,43.42
0.0002,0.003,0.003,0.005,34.6,2.13,11,3600,38,0.208,0.01,76,28,0.673,0.08,20.99,14.29,160.3,6.78,30.4,170,2.64,32,44.66
0.0002,0.003,0.003,0.005,23.8,2.03,10,1000,27,0.2,0.01,79,87,0.703,0.171,19.75,14.08,154.1,6.84,97.9,135,4.14,34,41.07
0.0002,0.003,0.003,0.018,25.9,2,13,7000,26,0.161,0.01,85,88,0.551,0.209,20.33,14,155,6.74,142,135,,,45.62
0.0002,0.002,0.003,0.005,50.8,2,10,3200,45,0.297,0.01,90,16,0.578,0.063,20.59,14.47,161.1,7.04,21.1,216,,,46.36
0.0002,0.008,0.003,0.005,28.1,3.04,11,9600,34,0.168,0.01,96,59,1.07,0.136,22.02,13.59,155.5,6.96,91.9,153,,,37.59
0.0002,0.004,0.005,0.005,48.6,3.04,22,940,49,0.204,0.01,107,18,0.783,0.111,21.21,13.78,155.3,6.87,21.9,239,,,46.33
0.0002,0.012,0.003,0.018,43,2,16,500,74,9.11,0.05,211,3,10.7,0.225,22.64,10.31,119.5,7.49,3.78,353,1.86,12,61.82
0.0002,0.007,0.003,0.006,61,2,24,600,83,0.145,0.01,151,11,0.679,0.062,22.92,15.33,178.6,8.31,2.65,232,,,49.75
0.0002,0.006,0.003,0.005,78,2,16,100,79,0.291,0.01,136,5,0.412,0.022,21.7,10.67,121.4,7.88,8.6,194,,,80.67
0.0002,0.008,0.003,0.013,54,2,14,1800,78,0.195,0.01,140,5,0.583,0.08,24.03,10.44,124.1,7.78,5.66,219,2.34,8.9,73.37
0.0002,0.014,0.003,0.027,41,2,8,1600,57,0.177,0.01,144,51,0.493,0.241,24.35,11.75,140.5,7.97,118,171,0.89,2.4,47.97
0.0002,0.007,0.003,0.011,36,2,13,2400,66,0.364,0.01,96,10,0.547,0.042,23.44,11.51,135.4,7.78,20.2,130,0.65,1.5,70.32
0.0002,0.005,0.003,0.006,41,2,14,5000,52,0.293,0.01,96,15,0.683,0.061,21.52,9.61,109,7.35,15.7,137,1.8,2.2,69.84
0.0002,0.008,0.003,0.005,42,2,19,700,50,0.253,0.01,102,7,0.76,0.079,20.77,10.57,118.1,7.36,10.4,135,1.03,0.64,75.34
0.0002,0.005,0.003,0.025,75,2,31,960,102,0.231,0.01,190,2,0.425,0.189,22.33,11.41,128.3,7.52,3.3,301,,,73.31
0.0002,0.006,0.003,0.005,36,2,13,780,49,0.275,0.01,96,7,0.52,0.054,22.08,10.57,121.2,7.76,16,128,2.78,3.9,73.5
0.0002,0.006,0.003,0.01,55,2,15,500,72,0.172,0.01,131,2,0.582,0.059,23.4,8.03,94.4,7.84,3.65,202,,,77.58
0.0002,0.004,0.003,0.008,1,2,11,1140,44,0.304,0.01,83,4,0.606,0.028,21.46,6.65,75.3,6.62,3.35,62,0.45,3.9,73.79
0.0002,0.003,0.003,0.007,43,2,5,35,41,0.343,0.01,93,26,0.345,0.042,19.8,5.87,64.3,6.92,8.79,94,,,80.79
0.0002,0.002,0.003,0.005,53,2,5,156,61,0.239,0.01,104,4,0.311,0.041,20.95,6.76,75.8,7.18,6.06,129,1.66,2.4,80.39
0.0002,0.006,0.003,0.008,60,2,5,440,71,0.249,0.01,115,4,0.369,0.043,18.66,7.93,85,7.34,8.11,87,3.24,4.3,77.45
0.0002,0.005,0.003,0.005,56,2,5,520,57,0.233,0.01,95,4,0.236,0.022,19.62,7.41,80.9,7.07,9.8,115,,,76.55
0.0002,0.004,0.003,0.005,34,2,5,116,41,0.289,0.01,79,5,0.254,0.019,21.72,6.77,77.1,7.44,7.69,138,,,80.88
0.0002,0.003,0.003,0.006,36,3.83,22,320,42,0.094,0.01,86,24,1.14,0.075,23.23,7.13,83.5,7.33,22.1,91,,,74.61
